text,category
Indian Oil Toll charges paid at Indian Oil,Travel
Bowling Alley Booked show tickets via Bowling Alley,Entertainment
Flipkart Wholesale Whiteboard markers from Flipkart Wholesale,Office Supplies
Walmart first aid supplies from Walmart,Medical
Amazon order of A4 paper and printer ink,Office Supplies
Concert Tickets Recreation event tickets Concert Tickets,Entertainment
Amazon annual Prime membership for streaming,Entertainment
IRCTC Cab receipt IRCTC for late night travel,Travel
DTDC Annual membership fee DTDC,Other
Blablacar Intercity travel booked on Blablacar,Travel
Gift Shop Photocopy and printing at Gift Shop,Other
Bic Supplies Toner refill Bic Supplies,Office Supplies
Smaaash Subscription renewal for Smaaash,Entertainment
Lemon Tree Hotel Hotel stay at Lemon Tree Hotel for conference,Accommodation
Indian Oil Taxi fare Indian Oil for client visit,Travel
Donation Trust Photocopy and printing at Donation Trust,Other
WH Smith Desk organizer purchase WH Smith,Office Supplies
FabHotels Two night stay at FabHotels,Accommodation
Laundry Express Annual membership fee Laundry Express,Other
Subway Team dinner bill from Subway,Food
Zomato Client hospitality meal at Zomato,Food
Marriott Lodging expense Marriott for offsite,Accommodation
Spotify Recreation event tickets Spotify,Entertainment
PVR Cinemas Streaming subscription PVR Cinemas,Entertainment
Locksmith Service Photocopy and printing at Locksmith Service,Other
Concert Tickets Subscription renewal for Concert Tickets,Entertainment
FedEx Postage and mailing FedEx,Other
IRCTC Fuel refill at IRCTC,Travel
SpiceJet Cab receipt SpiceJet for late night travel,Travel
Gift Shop Postage and mailing Gift Shop,Other
INOX Movie night booked on INOX,Entertainment
Repair Services Document shipment via Repair Services,Other
lodging charges,Accommodation
Stationery Mart Desk organizer purchase Stationery Mart,Office Supplies
Apollo Pharmacy First aid supplies from Apollo Pharmacy,Medical
Xerox Shop Document shipment via Xerox Shop,Other
Bic Supplies Office supplies restock Bic Supplies,Office Supplies
Comedy Club Entertainment expense Comedy Club for offsite,Entertainment
Disney Hotstar Team outing movie tickets on Disney Hotstar,Entertainment
Subway Snacks and beverages from Subway,Food
Subway Client hospitality meal at Subway,Food
Bowling Alley Entertainment expense Bowling Alley for offsite,Entertainment
Bharat Petroleum Intercity travel booked on Bharat Petroleum,Travel
Repair Services Bank charges from Repair Services,Other
Swiggy Snacks and beverages from Swiggy,Food
McDonalds Team dinner bill from McDonalds,Food
sundry charges,Other
Game Zone Arcade Team outing movie tickets on Game Zone Arcade,Entertainment
Wellness Forever Diagnostic test invoice Wellness Forever,Medical
India Post Courier charges paid to India Post,Other
Blue Dart Courier Bank charges from Blue Dart Courier,Other
Uber Cab receipt Uber for late night travel,Travel
IndiGo Airlines Taxi fare IndiGo Airlines for client visit,Travel
Metropolis Labs Pharmacy bill at Metropolis Labs,Medical
IndiGo Airlines Commute to client site using IndiGo Airlines,Travel
Bic Supplies Desk organizer purchase Bic Supplies,Office Supplies
Radisson Blu Lodging expense Radisson Blu for offsite,Accommodation
Reliance Digital Purchased printer cartridges from Reliance Digital,Office Supplies
Office Depot Office supplies restock Office Depot,Office Supplies
FedEx Repair service payment FedEx,Other
Taj Hotels Lodging expense Taj Hotels for offsite,Accommodation
Amazon Prime Entertainment expense Amazon Prime for offsite,Entertainment
Zostel Lodging expense Zostel for offsite,Accommodation
Faasos Business lunch at Faasos with client,Food
Treebo Hotels Room booking at Treebo Hotels during business trip,Accommodation
Whitebook Stationers Toner refill Whitebook Stationers,Office Supplies
Spotify Subscription renewal for Spotify,Entertainment
Chai Point Team dinner bill from Chai Point,Food
Faasos Coffee meeting at Faasos,Food
local travel reimbursement,Travel
Rapido Intercity travel booked on Rapido,Travel
Haldirams Food order Haldirams for review meeting,Food
Donation Trust Annual membership fee Donation Trust,Other
Max Healthcare First aid supplies from Max Healthcare,Medical
FabHotels Room booking at FabHotels during business trip,Accommodation
HP Petrol Pump Train reservation via HP Petrol Pump,Travel
Concert Tickets Team outing movie tickets on Concert Tickets,Entertainment
Paper Plus New keyboard and mouse from Paper Plus,Office Supplies
INOX Arcade games at INOX team event,Entertainment
Cafe Coffee Day Client hospitality meal at Cafe Coffee Day,Food
Faasos Cafeteria refreshments Faasos,Food
Subway Cafeteria refreshments Subway,Food
Pizza Hut Working lunch ordered via Pizza Hut,Food
WH Smith Toner refill WH Smith,Office Supplies
Disney Hotstar Streaming subscription Disney Hotstar,Entertainment
Third Wave Coffee Snacks and beverages from Third Wave Coffee,Food
Cafe Coffee Day Snacks and beverages from Cafe Coffee Day,Food
Netflix Booked show tickets via Netflix,Entertainment
Comedy Club Concert passes from Comedy Club,Entertainment
Biryani Blues Working lunch ordered via Biryani Blues,Food
Office Depot Whiteboard markers from Office Depot,Office Supplies
ITC Hotels Business trip lodging ITC Hotels,Accommodation
medical reimbursement,Medical
Meru Cabs Toll charges paid at Meru Cabs,Travel
Canon Store New keyboard and mouse from Canon Store,Office Supplies
Amazon Prime Recreation event tickets Amazon Prime,Entertainment
Ginger Hotel Checked in at Ginger Hotel for training,Accommodation
Amazon Business Purchased printer cartridges from Amazon Business,Office Supplies
OYO Rooms Hotel stay at OYO Rooms for conference,Accommodation
Staples Toner refill Staples,Office Supplies
Locksmith Service Repair service payment Locksmith Service,Other
SpiceJet Train reservation via SpiceJet,Travel
Ola Cabs Taxi fare Ola Cabs for client visit,Travel
Rapido Cab receipt Rapido for late night travel,Travel
Bharat Petroleum Toll charges paid at Bharat Petroleum,Travel
team lunch reimbursement,Food
Gift Shop Courier charges paid to Gift Shop,Other
stationery reimbursement,Office Supplies
Dominos Pizza Team dinner bill from Dominos Pizza,Food
Swiggy Team dinner bill from Swiggy,Food
Staples Bought a monitor stand from Staples,Office Supplies
miscellaneous reimbursement,Other
Uber Toll charges paid at Uber,Travel
Practo Clinic Lab tests done at Practo Clinic,Medical
Third Wave Coffee Ordered dinner from Third Wave Coffee for the team,Food
Wonderla Recreation event tickets Wonderla,Entertainment
Walmart printer paper and folders from Walmart,Office Supplies
PVR Cinemas Entertainment expense PVR Cinemas for offsite,Entertainment
Health Checkup Centre Clinic visit charges Health Checkup Centre,Medical
Practo Clinic Doctor consultation at Practo Clinic,Medical
Ola Auto Toll charges paid at Ola Auto,Travel
Faasos Snacks and beverages from Faasos,Food
PharmEasy Medical reimbursement PharmEasy,Medical
Blablacar Cab receipt Blablacar for late night travel,Travel
Cloudnine Clinic Doctor consultation at Cloudnine Clinic,Medical
Radisson Blu Room booking at Radisson Blu during business trip,Accommodation
Treebo Hotels Overnight stay Treebo Hotels near client office,Accommodation
Smaaash Concert passes from Smaaash,Entertainment
Burger King Working lunch ordered via Burger King,Food
Disney Hotstar Recreation event tickets Disney Hotstar,Entertainment
Amazon Prime Video subscription renewal,Entertainment
PVR Cinemas Recreation event tickets PVR Cinemas,Entertainment
Ginger Hotel Two night stay at Ginger Hotel,Accommodation
Membership Renewal Photocopy and printing at Membership Renewal,Other
INOX Subscription renewal for INOX,Entertainment
Comedy Club Movie night booked on Comedy Club,Entertainment
Blue Dart Courier Photocopy and printing at Blue Dart Courier,Other
Amazon Gift Card Document shipment via Amazon Gift Card,Other
Amazon miscellaneous household order,Other
Netmeds Medical reimbursement Netmeds,Medical
WH Smith Bought notebooks and pens at WH Smith,Office Supplies
Holiday Inn Business trip lodging Holiday Inn,Accommodation
Paper Plus Desk organizer purchase Paper Plus,Office Supplies
Amazon gift voucher for team reward,Other
Max Healthcare Pharmacy bill at Max Healthcare,Medical
PharmEasy Doctor consultation at PharmEasy,Medical
Fortis Hospital First aid supplies from Fortis Hospital,Medical
Comedy Club Team building activity at Comedy Club,Entertainment
Ola Auto Cab receipt Ola Auto for late night travel,Travel
Novotel Hotel invoice from Novotel,Accommodation
Uber Airport transfer with Uber,Travel
Dominos Pizza Client hospitality meal at Dominos Pizza,Food
Dominos Pizza Coffee meeting at Dominos Pizza,Food
BookMyShow Arcade games at BookMyShow team event,Entertainment
Big Bazaar office consumables Big Bazaar,Office Supplies
Indian Oil Commute to client site using Indian Oil,Travel
MedPlus Doctor consultation at MedPlus,Medical
FedEx Bank charges from FedEx,Other
Barbeque Nation Business lunch at Barbeque Nation with client,Food
Miscellaneous Vendor Document shipment via Miscellaneous Vendor,Other
Faasos Ordered dinner from Faasos for the team,Food
Pen Store New keyboard and mouse from Pen Store,Office Supplies
Canon Store Bought a monitor stand from Canon Store,Office Supplies
Ola Auto Train reservation via Ola Auto,Travel
PharmEasy First aid supplies from PharmEasy,Medical
Apollo Pharmacy Clinic visit charges Apollo Pharmacy,Medical
Biryani Blues Client hospitality meal at Biryani Blues,Food
PharmEasy Clinic visit charges PharmEasy,Medical
Treebo Hotels Guest house booking Treebo Hotels,Accommodation
MakeMyTrip Flights Intercity travel booked on MakeMyTrip Flights,Travel
Fortis Hospital Doctor consultation at Fortis Hospital,Medical
Amazon Business Bought a monitor stand from Amazon Business,Office Supplies
Swiggy Business lunch at Swiggy with client,Food
Disney Hotstar Arcade games at Disney Hotstar team event,Entertainment
Swiggy Coffee meeting at Swiggy,Food
RedBus Intercity travel booked on RedBus,Travel
HP Petrol Pump Airport transfer with HP Petrol Pump,Travel
hotel expense,Accommodation
Reliance Digital Bought notebooks and pens at Reliance Digital,Office Supplies
Amazon gift card purchase for client,Other
Pen Store Purchased printer cartridges from Pen Store,Office Supplies
Whitebook Stationers Bought notebooks and pens at Whitebook Stationers,Office Supplies
Staples Office supplies restock Staples,Office Supplies
Vistara Fuel refill at Vistara,Travel
PharmEasy Pharmacy bill at PharmEasy,Medical
Third Wave Coffee Coffee meeting at Third Wave Coffee,Food
Meru Cabs Commute to client site using Meru Cabs,Travel
Wellness Forever Lab tests done at Wellness Forever,Medical
Theobroma Working lunch ordered via Theobroma,Food
Ola Cabs Train reservation via Ola Cabs,Travel
Ginger Hotel Guest house booking Ginger Hotel,Accommodation
Treebo Hotels Hotel invoice from Treebo Hotels,Accommodation
Practo Clinic Diagnostic test invoice Practo Clinic,Medical
Vistara Airport transfer with Vistara,Travel
FabHotels Business trip lodging FabHotels,Accommodation
Vistara Flight ticket booked through Vistara,Travel
Amazon bought desk organiser and files,Office Supplies
Bharat Petroleum Cab ride to office booked on Bharat Petroleum,Travel
RedBus Taxi fare RedBus for client visit,Travel
Bank Service Charge Postage and mailing Bank Service Charge,Other
HP Petrol Pump Taxi fare HP Petrol Pump for client visit,Travel
event tickets,Entertainment
HP Store Office paper and files from HP Store,Office Supplies
Airbnb Lodging expense Airbnb for offsite,Accommodation
1mg Purchased medicines from 1mg,Medical
Xerox Shop Courier charges paid to Xerox Shop,Other
WH Smith New keyboard and mouse from WH Smith,Office Supplies
SpiceJet Flight ticket booked through SpiceJet,Travel
Pen Store Toner refill Pen Store,Office Supplies
Bank Service Charge Miscellaneous purchase at Bank Service Charge,Other
Treebo Hotels Business trip lodging Treebo Hotels,Accommodation
Disney Hotstar Subscription renewal for Disney Hotstar,Entertainment
Novotel Overnight stay Novotel near client office,Accommodation
Air India Fuel refill at Air India,Travel
Spotify Entertainment expense Spotify for offsite,Entertainment
Swiggy Client hospitality meal at Swiggy,Food
Repair Services Photocopy and printing at Repair Services,Other
Big Bazaar miscellaneous purchase at Big Bazaar,Other
Marriott Two night stay at Marriott,Accommodation
Stationery Mart Office paper and files from Stationery Mart,Office Supplies
Metropolis Labs Bought prescription drugs from Metropolis Labs,Medical
Netflix Subscription renewal for Netflix,Entertainment
Flipkart Wholesale Bought a monitor stand from Flipkart Wholesale,Office Supplies
Metropolis Labs Medical reimbursement Metropolis Labs,Medical
PVR Cinemas Movie night booked on PVR Cinemas,Entertainment
Cafe Coffee Day Coffee meeting at Cafe Coffee Day,Food
Taj Hotels Two night stay at Taj Hotels,Accommodation
Taj Hotels Overnight stay Taj Hotels near client office,Accommodation
Wonderla Entertainment expense Wonderla for offsite,Entertainment
Ginger Hotel Room booking at Ginger Hotel during business trip,Accommodation
HP Store Purchased printer cartridges from HP Store,Office Supplies
IRCTC Intercity travel booked on IRCTC,Travel
Locksmith Service Postage and mailing Locksmith Service,Other
Fortis Hospital Pharmacy bill at Fortis Hospital,Medical
India Post Miscellaneous purchase at India Post,Other
Ola Cabs Cab ride to office booked on Ola Cabs,Travel
IndiGo Airlines Intercity travel booked on IndiGo Airlines,Travel
FabHotels Checked in at FabHotels for training,Accommodation
India Post Laundry service India Post during travel,Other
printer consumables,Office Supplies
Staples New keyboard and mouse from Staples,Office Supplies
INOX Booked show tickets via INOX,Entertainment
Donation Trust Repair service payment Donation Trust,Other
Subway Business lunch at Subway with client,Food
Reliance Digital Whiteboard markers from Reliance Digital,Office Supplies
Max Healthcare Purchased medicines from Max Healthcare,Medical
Novotel Room booking at Novotel during business trip,Accommodation
Marriott Guest house booking Marriott,Accommodation
Taj Hotels Business trip lodging Taj Hotels,Accommodation
FabHotels Hotel invoice from FabHotels,Accommodation
Practo Clinic Health checkup at Practo Clinic,Medical
Flipkart Wholesale Bought notebooks and pens at Flipkart Wholesale,Office Supplies
Barbeque Nation Cafeteria refreshments Barbeque Nation,Food
Third Wave Coffee Team dinner bill from Third Wave Coffee,Food
Max Healthcare Medical reimbursement Max Healthcare,Medical
Blue Dart Courier Postage and mailing Blue Dart Courier,Other
Practo Clinic Bought prescription drugs from Practo Clinic,Medical
FabHotels Overnight stay FabHotels near client office,Accommodation
Uber Fuel refill at Uber,Travel
Barbeque Nation Coffee meeting at Barbeque Nation,Food
Health Checkup Centre Medical reimbursement Health Checkup Centre,Medical
Netflix Recreation event tickets Netflix,Entertainment
Reliance Reliance Digital pen drive and cables,Office Supplies
MakeMyTrip Flights Cab receipt MakeMyTrip Flights for late night travel,Travel
Walmart office stationery from Walmart,Office Supplies
Pen Store Desk organizer purchase Pen Store,Office Supplies
Practo Clinic Purchased medicines from Practo Clinic,Medical
HP Store Toner refill HP Store,Office Supplies
Cafe Coffee Day Team dinner bill from Cafe Coffee Day,Food
Repair Services Courier charges paid to Repair Services,Other
Smaaash Team building activity at Smaaash,Entertainment
Barbeque Nation Breakfast at Barbeque Nation during offsite,Food
Rapido Toll charges paid at Rapido,Travel
Ola Auto Airport transfer with Ola Auto,Travel
Stationery Mart Whiteboard markers from Stationery Mart,Office Supplies
Subway Coffee meeting at Subway,Food
BookMyShow Entertainment expense BookMyShow for offsite,Entertainment
Apollo Pharmacy Doctor consultation at Apollo Pharmacy,Medical
Airbnb Accommodation booked at Airbnb,Accommodation
Office Depot Bought notebooks and pens at Office Depot,Office Supplies
Cafe Coffee Day Cafeteria refreshments Cafe Coffee Day,Food
Taj Hotels Accommodation booked at Taj Hotels,Accommodation
Xerox Shop Bank charges from Xerox Shop,Other
Zostel Accommodation booked at Zostel,Accommodation
Bank Service Charge Courier charges paid to Bank Service Charge,Other
Ola Cabs Toll charges paid at Ola Cabs,Travel
Health Checkup Centre Lab tests done at Health Checkup Centre,Medical
FedEx Gift for client from FedEx,Other
RedBus Commute to client site using RedBus,Travel
Stationery Mart Bought notebooks and pens at Stationery Mart,Office Supplies
PharmEasy Purchased medicines from PharmEasy,Medical
Blablacar Taxi fare Blablacar for client visit,Travel
PVR Cinemas Arcade games at PVR Cinemas team event,Entertainment
Marriott Overnight stay Marriott near client office,Accommodation
Amazon Business Desk organizer purchase Amazon Business,Office Supplies
India Post Bank charges from India Post,Other
MakeMyTrip Flights Taxi fare MakeMyTrip Flights for client visit,Travel
Bank Service Charge Annual membership fee Bank Service Charge,Other
IRCTC Cab ride to office booked on IRCTC,Travel
Manipal Hospital Diagnostic test invoice Manipal Hospital,Medical
McDonalds Coffee meeting at McDonalds,Food
Haldirams Team dinner bill from Haldirams,Food
SpiceJet Commute to client site using SpiceJet,Travel
Amazon Business New keyboard and mouse from Amazon Business,Office Supplies
Lemon Tree Hotel Overnight stay Lemon Tree Hotel near client office,Accommodation
Laundry Express Repair service payment Laundry Express,Other
Canon Store Bought notebooks and pens at Canon Store,Office Supplies
FedEx Photocopy and printing at FedEx,Other
Burger King Ordered dinner from Burger King for the team,Food
Pen Store Stationery order from Pen Store,Office Supplies
Health Checkup Centre Purchased medicines from Health Checkup Centre,Medical
Ola Auto Fuel refill at Ola Auto,Travel
Practo Clinic First aid supplies from Practo Clinic,Medical
Treebo Hotels Checked in at Treebo Hotels for training,Accommodation
Paper Plus Whiteboard markers from Paper Plus,Office Supplies
SpiceJet Toll charges paid at SpiceJet,Travel
Amazon Prime Booked show tickets via Amazon Prime,Entertainment
Amazon Gift Card Postage and mailing Amazon Gift Card,Other
office supplies,Office Supplies
Wow Momo Business lunch at Wow Momo with client,Food
Max Healthcare Bought prescription drugs from Max Healthcare,Medical
Dominos Pizza Snacks and beverages from Dominos Pizza,Food
Netflix Movie night booked on Netflix,Entertainment
WH Smith Purchased printer cartridges from WH Smith,Office Supplies
Laundry Express Bank charges from Laundry Express,Other
Chai Point Business lunch at Chai Point with client,Food
Lemon Tree Hotel Two night stay at Lemon Tree Hotel,Accommodation
Meru Cabs Fuel refill at Meru Cabs,Travel
Wellness Forever Doctor consultation at Wellness Forever,Medical
Blablacar Flight ticket booked through Blablacar,Travel
1mg Pharmacy bill at 1mg,Medical
Repair Services Postage and mailing Repair Services,Other
Flipkart Wholesale Stationery order from Flipkart Wholesale,Office Supplies
Guest House Stay Checked in at Guest House Stay for training,Accommodation
ITC Hotels Hotel stay at ITC Hotels for conference,Accommodation
FedEx Laundry service FedEx during travel,Other
Bowling Alley Subscription renewal for Bowling Alley,Entertainment
Cafe Coffee Day Breakfast at Cafe Coffee Day during offsite,Food
Gift Shop Annual membership fee Gift Shop,Other
Reliance grocery bill at Reliance Fresh,Food
Game Zone Arcade Team building activity at Game Zone Arcade,Entertainment
Taj Hotels Hotel invoice from Taj Hotels,Accommodation
Amazon Gift Card Bank charges from Amazon Gift Card,Other
SpiceJet Cab ride to office booked on SpiceJet,Travel
IRCTC Taxi fare IRCTC for client visit,Travel
Biryani Blues Cafeteria refreshments Biryani Blues,Food
OYO Rooms Lodging expense OYO Rooms for offsite,Accommodation
Gift Shop Miscellaneous purchase at Gift Shop,Other
Disney Hotstar Movie night booked on Disney Hotstar,Entertainment
Rapido Commute to client site using Rapido,Travel
Office Depot Purchased printer cartridges from Office Depot,Office Supplies
Whitebook Stationers Office supplies restock Whitebook Stationers,Office Supplies
Membership Renewal Postage and mailing Membership Renewal,Other
Comedy Club Arcade games at Comedy Club team event,Entertainment
Airbnb Room booking at Airbnb during business trip,Accommodation
Biryani Blues Coffee meeting at Biryani Blues,Food
Pizza Hut Business lunch at Pizza Hut with client,Food
HP Store New keyboard and mouse from HP Store,Office Supplies
Dominos Pizza Food order Dominos Pizza for review meeting,Food
Bank Service Charge Gift for client from Bank Service Charge,Other
Barbeque Nation Team dinner bill from Barbeque Nation,Food
Taj Hotels Hotel stay at Taj Hotels for conference,Accommodation
Apollo Pharmacy Pharmacy bill at Apollo Pharmacy,Medical
Blue Dart Courier Gift for client from Blue Dart Courier,Other
Metropolis Labs Purchased medicines from Metropolis Labs,Medical
Bowling Alley Streaming subscription Bowling Alley,Entertainment
Pizza Hut Breakfast at Pizza Hut during offsite,Food
Practo Clinic Pharmacy bill at Practo Clinic,Medical
meal expense,Food
Canon Store Toner refill Canon Store,Office Supplies
Comedy Club Subscription renewal for Comedy Club,Entertainment
Staples Office paper and files from Staples,Office Supplies
Third Wave Coffee Client hospitality meal at Third Wave Coffee,Food
Amazon Gift Card Photocopy and printing at Amazon Gift Card,Other
Netmeds Lab tests done at Netmeds,Medical
Whitebook Stationers Whiteboard markers from Whitebook Stationers,Office Supplies
Indian Oil Airport transfer with Indian Oil,Travel
Locksmith Service Bank charges from Locksmith Service,Other
Donation Trust Miscellaneous purchase at Donation Trust,Other
Rapido Flight ticket booked through Rapido,Travel
Netmeds First aid supplies from Netmeds,Medical
Dr Lal PathLabs First aid supplies from Dr Lal PathLabs,Medical
Uber Intercity travel booked on Uber,Travel
Ola Auto Flight ticket booked through Ola Auto,Travel
Fortis Hospital Bought prescription drugs from Fortis Hospital,Medical
HP Petrol Pump Cab receipt HP Petrol Pump for late night travel,Travel
Stationery Mart Office supplies restock Stationery Mart,Office Supplies
DTDC Repair service payment DTDC,Other
RedBus Flight ticket booked through RedBus,Travel
Smaaash Recreation event tickets Smaaash,Entertainment
Air India Taxi fare Air India for client visit,Travel
Radisson Blu Accommodation booked at Radisson Blu,Accommodation
Croma Bought notebooks and pens at Croma,Office Supplies
Theobroma Breakfast at Theobroma during offsite,Food
IRCTC Train reservation via IRCTC,Travel
Netmeds Health checkup at Netmeds,Medical
Radisson Blu Guest house booking Radisson Blu,Accommodation
1mg Doctor consultation at 1mg,Medical
Wonderla Concert passes from Wonderla,Entertainment
Starbucks Working lunch ordered via Starbucks,Food
Swiggy Working lunch ordered via Swiggy,Food
INOX Entertainment expense INOX for offsite,Entertainment
Cinepolis Recreation event tickets Cinepolis,Entertainment
PVR Cinemas Subscription renewal for PVR Cinemas,Entertainment
Radisson Blu Hotel stay at Radisson Blu for conference,Accommodation
FedEx Annual membership fee FedEx,Other
Office Depot Stationery order from Office Depot,Office Supplies
Game Zone Arcade Entertainment expense Game Zone Arcade for offsite,Entertainment
ITC Hotels Guest house booking ITC Hotels,Accommodation
Netmeds Bought prescription drugs from Netmeds,Medical
Miscellaneous Vendor Postage and mailing Miscellaneous Vendor,Other
Cloudnine Clinic Clinic visit charges Cloudnine Clinic,Medical
Cloudnine Clinic Bought prescription drugs from Cloudnine Clinic,Medical
MedPlus Bought prescription drugs from MedPlus,Medical
Flipkart Wholesale Office paper and files from Flipkart Wholesale,Office Supplies
Holiday Inn Accommodation booked at Holiday Inn,Accommodation
Theobroma Food order Theobroma for review meeting,Food
Donation Trust Bank charges from Donation Trust,Other
clinic charges,Medical
Locksmith Service Miscellaneous purchase at Locksmith Service,Other
The Leela Room booking at The Leela during business trip,Accommodation
MedPlus Lab tests done at MedPlus,Medical
Repair Services Miscellaneous purchase at Repair Services,Other
INOX Team outing movie tickets on INOX,Entertainment
Wonderla Movie night booked on Wonderla,Entertainment
Big Bazaar snacks and beverages at Big Bazaar,Food
Paper Plus Stationery order from Paper Plus,Office Supplies
BookMyShow Subscription renewal for BookMyShow,Entertainment
Fortis Hospital Diagnostic test invoice Fortis Hospital,Medical
pharmacy expense,Medical
Starbucks Cafeteria refreshments Starbucks,Food
HP Petrol Pump Commute to client site using HP Petrol Pump,Travel
KFC Ordered dinner from KFC for the team,Food
ITC Hotels Accommodation booked at ITC Hotels,Accommodation
Indian Oil Cab ride to office booked on Indian Oil,Travel
Membership Renewal Repair service payment Membership Renewal,Other
Starbucks Team dinner bill from Starbucks,Food
Membership Renewal Bank charges from Membership Renewal,Other
Burger King Client hospitality meal at Burger King,Food
Xerox Shop Postage and mailing Xerox Shop,Other
Wow Momo Cafeteria refreshments Wow Momo,Food
DTDC Document shipment via DTDC,Other
Dr Lal PathLabs Clinic visit charges Dr Lal PathLabs,Medical
Big Bazaar stationery and files from Big Bazaar,Office Supplies
Bharat Petroleum Commute to client site using Bharat Petroleum,Travel
Canon Store Whiteboard markers from Canon Store,Office Supplies
Bharat Petroleum Flight ticket booked through Bharat Petroleum,Travel
Blue Dart Courier Document shipment via Blue Dart Courier,Other
Concert Tickets Arcade games at Concert Tickets team event,Entertainment
subscription charge,Entertainment
